X直播电视台 油管频道
测试,#genre#
CCTV5+,http://39.135.138.59:18890/PLTV/88888910/224/3221225649/index.m3u8

超级体育ᴴᴰ,http://39.134.155.137/PLTV/88888888/224/3221225653/index.m3u8
超级体育ᴴᴰ,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225925/index.m3u8
超级体育,http://39.134.155.153/PLTV/88888888/224/3221225576/index.m3u8
咪咕视频·PP体育1,http://39.134.65.162/PLTV/88888888/224/3221225611/index.m3u8
有線奧運601台,https://www.navchina.cf/IPTV/icable.php?id=61#https://api.leonardpark.dev/live/icable/601
有線奧運602台,https://www.navchina.cf/IPTV/icable.php?id=62#https://api.leonardpark.dev/live/icable/602
有線高清603台,https://www.navchina.cf/IPTV/icable.php?id=63#https://api.leonardpark.dev/live/icable/603
有線奧運604台,https://www.navchina.cf/IPTV/icable.php?id=64#https://api.leonardpark.dev/live/icable/604
有線奧運605台,https://www.navchina.cf/IPTV/icable.php?id=65#https://api.leonardpark.dev/live/icable/605
爱尔达体育 1,rtmp://59.124.75.153/sat/md021
爱尔达体育 2,rtmp://59.124.75.153/sat/md011
爱尔达体育 3,rtmp://59.124.75.153/sat/md051
AIS1,https://r3-sn-5fo-c37ed57.googleuservideo.com/doofootball_r9/channel1/chunks.m3u8
AIS2,https://r3-sn-5fo-c37ed57.googleuservideo.com/doofootball_r9/channel2/chunks.m3u8
AIS3,https://r3-sn-5fo-c37ed57.googleuservideo.com/doofootball_r9/channel3/chunks.m3u8
AIS4,https://r3-sn-5fo-c37ed57.googleuservideo.com/doofootball_r9/channel4/chunks.m3u8
AIS5,https://r3-sn-5fo-c37ed57.googleuservideo.com/doofootball_r9/channel5/chunks.m3u8
AIS6,https://r3-sn-5fo-c37ed57.googleuservideo.com/doofootball_r9/channel6/chunks.m3u8
AIS7,https://r3-sn-5fo-c37ed57.googleuservideo.com/doofootball_r9/channel7/chunks.m3u8
AIS8,https://r3-sn-5fo-c37ed57.googleuservideo.com/doofootball_r9/channel8/chunks.m3u8
AIS9,https://r3-sn-5fo-c37ed57.googleuservideo.com/doofootball_r9/channel9/chunks.m3u8
AIS10,https://r3-sn-5fo-c37ed57.googleuservideo.com/doofootball_r9/channel10/chunks.m3u8
AIS11,https://r3-sn-5fo-c37ed57.googleuservideo.com/doofootball_r9/channel11/chunks.m3u8
AIS12,https://r3-sn-5fo-c37ed57.googleuservideo.com/doofootball_r9/channel12/chunks.m3u8
AIS13,https://r3-sn-5fo-c37ed57.googleuservideo.com/doofootball_r9/channel13/chunks.m3u8
AIS14,https://r3-sn-5fo-c37ed57.googleuservideo.com/doofootball_r9/channel14/chunks.m3u8
AIS15,https://r3-sn-5fo-c37ed57.googleuservideo.com/doofootball_r9/channel15/chunks.m3u8
AIS16,https://r3-sn-5fo-c37ed57.googleuservideo.com/doofootball_r9/channel16/chunks.m3u8
OLYMPIC 1,http://185.224.216.1:8081/doofootball_r9/channel1/playlist.m3u8
OLYMPIC 2,http://185.224.216.1:8081/doofootball_r9/channel2/playlist.m3u8
OLYMPIC 3,http://185.224.216.1:8081/doofootball_r9/channel3/playlist.m3u8
OLYMPIC 4,http://185.224.216.1:8081/doofootball_r9/channel4/playlist.m3u8
OLYMPIC 5,http://185.224.216.1:8081/doofootball_r9/channel5/playlist.m3u8
OLYMPIC 6,http://185.224.216.1:8081/doofootball_r9/channel6/playlist.m3u8
OLYMPIC 7,http://185.224.216.1:8081/doofootball_r9/channel7/playlist.m3u8
OLYMPIC 8,http://185.224.216.1:8081/doofootball_r9/channel8/playlist.m3u8
OLYMPIC 9,http://185.224.216.1:8081/doofootball_r9/channel9/playlist.m3u8
OLYMPIC 10,http://185.224.216.1:8081/doofootball_r9/channel10/playlist.m3u8
OLYMPIC 11,http://185.224.216.1:8081/doofootball_r9/channel11/playlist.m3u8
OLYMPIC 12,http://185.224.216.1:8081/doofootball_r9/channel12/playlist.m3u8
OLYMPIC 13,http://185.224.216.1:8081/doofootball_r9/channel13/playlist.m3u8
OLYMPIC 14,http://185.224.216.1:8081/doofootball_r9/channel14/playlist.m3u8
OLYMPIC 15,http://185.224.216.1:8081/doofootball_r9/channel15/playlist.m3u8
OLYMPIC 16,http://185.224.216.1:8081/doofootball_r9/channel16/playlist.m3u8

北京冬奥纪实 3M1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226232/index.m3u8
劲爆体育,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/jbtyhd/4000000/mnf.m3u8
魅力足球,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/mlyyhd/4000000/mnf.m3u8
五星体育,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/ssty/4000000/mnf.m3u8
新视觉,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/xsjhd/4000000/mnf.m3u8
超级体育ᴴᴰ,http://39.134.155.137/PLTV/88888888/224/3221225653/index.m3u8
超级体育ᴴᴰ,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225925/index.m3u8
超级体育,http://39.134.155.153/PLTV/88888888/224/3221225576/index.m3u8
体育赛事,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226803/index.m3u8
精彩体育,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226010/index.m3u8
咪咕视频·PP体育1,http://39.134.65.162/PLTV/88888888/224/3221225611/index.m3u8
百事通体育 1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226599/index.m3u8
百事通体育 1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226646/index.m3u8
百事通体育 1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226569/index.m3u8
百事通体育 1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226573/index.m3u8
百事通体育 1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226638/index.m3u8
百事通体育 1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
百事通体育 1080,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226642/index.m3u8
爱尔达体育3,http://198.16.106.62:8278/streams/d/eltasport3_zero/playlist.m3u8
Star Sports,rtmp://58.200.131.2:1935/livetv/starsports
ELEVEN2,http://198.16.106.62:8278/streams/d/luxetv_zero/playlist.m3u8
ASTRO SPORT 2,http://50.7.161.82:8278/streams/d/Assp2/playlist.m3u8
ASTRO SPORT 2,http://50.7.161.82:8278/streams/d/assp2_pye/playlist.m3u8
ASTRO SPORT 4,http://159.192.73.198:1072/astro4
ASTRO SPORT 4,http://50.7.161.82:8278/streams/d/Assp4/playlist.m3u8
ASTRO SPORT 4,http://50.7.161.82:8278/streams/d/assp4_pye/playlist.m3u8
WWE摔角,http://185.180.221.194:8278/streams/d/Wwe/playlist.m3u8
NBA HD,https://www.livedoomovie.com/02_nbahd_720p/chunklist.m3u8
纬来体育台,http://198.16.106.62:8278/streams/d/videolandsport_zero/playlist.m3u8
FS1cdn,https://livecdn.fptplay.net/qnetlive/foxsports_2000.stream/chunklist.m3u8
FS2cdn,https://livecdn.fptplay.net/qnetlive/foxsports2_2000.stream/chunklist.m3u8
FS3cdn,https://livecdn.fptplay.net/qnetlive/foxsports3_2000.stream/chunklist.m3u8
FS3cdn,https://livecdn.fptplay.net/qnetlive/foxsports3_hls.smil/chunklist_b2500000.m3u8
FS1185,http://185.180.221.194:8278/streams/d/Foxsports/playlist.m3u8
FS2185,http://185.180.221.194:8278/streams/d/Foxsports2/playlist.m3u8
FS3185,http://185.180.221.194:8278/streams/d/Foxsports3/playlist.m3u8
FS3LIVE,https://www.livedoomovie.com/02_FoxSport3_TH_720p/chunklist.m3u8
Sport TV+HD,http://usa3.iptvteam.org:8000/paulo/2016/531
Sport TVNBA,http://usa3.iptvteam.org:8000/paulo/2016/77
Sport TV1 HD,http://usa3.iptvteam.org:8000/paulo/2016/108
Sport TV2 HD,http://usa3.iptvteam.org:8000/paulo/2016/102
Sport TV3 HD,http://usa3.iptvteam.org:8000/paulo/2016/132
Eleven Sports 1,http://usa3.iptvteam.org:8000/paulo/2016/545
Eleven Sports 2,http://usa3.iptvteam.org:8000/paulo/2016/89
Eleven Sports 3,http://usa3.iptvteam.org:8000/paulo/2016/150
Eleven Sports 4,http://usa3.iptvteam.org:8000/paulo/2016/66
Eleven Sports 5,http://usa3.iptvteam.org:8000/paulo/2016/139
Eleven Sports 6,http://usa3.iptvteam.org:8000/paulo/2016/96
Sporting TV,http://usa3.iptvteam.org:8000/paulo/2016/526
Sporting TV HD,http://usa3.iptvteam.org:8000/paulo/2016/645
SportTv1,http://77.83.117.60:8888/02_SPORTTV_1_720p/chunklist.m3u8
SportTv2,http://77.83.117.60:8888/02_SPORTTV_2_720p/chunklist.m3u8
SportTv3,http://77.83.117.60:8888/02_SPORTTV_3_720p/chunklist.m3u8
SportTv4,http://77.83.117.60:8888/02_SPORTTV_4_720p/chunklist.m3u8
SportTv5,http://77.83.117.60:8888/02_SPORTTV_5_720p/chunklist.m3u8
BEIN SPORT 2  HD,http://77.83.117.60:8888/02_epl2_720p_UK/chunklist.m3u8
Canal+ Sport HD,http://207.110.52.61:8080/s/hls/5/293/canal_plus_sport_polska_250/1/1/tracks-v1a1/mono.m3u8
ELEVEN SPORTS 1 HD,http://207.110.52.61:8080/s/hls/5/3570/eleven_sports_1_355/1/1/index.m3u8
ELEVEN SPORTS 2 HD,http://207.110.52.61:8080/s/hls/5/9335/eleven_sports_2_303/1/1/tracks-v1a1/mono.m3u8
TNT SPORTS 1,https://glxlmn026c.singularcdn.net.br/playout_01/playlist-720p.m3u8
TNT SPORTS 2,https://glxlmn026c.singularcdn.net.br/playout_02/playlist-720p.m3u8
TNT SPORTS 3,https://glxlmn026c.singularcdn.net.br/playout_03/playlist-720p.m3u8
TNT SPORTS 4,https://glxlmn026c.singularcdn.net.br/playout_04/playlist-720p.m3u8
TNT SPORTS 5,https://glxlmn026c.singularcdn.net.br/playout_05/playlist-720p.m3u8

香港☒頻道,#genre#

翡翠台,http://livetv.dnsfor.me/channel.18.m3u8
翡翠台,https://cdn.hkdtmb.com/hls/81/index.m3u8
J2,https://cdn.hkdtmb.com/hls/82/index.m3u8
J2,http://livetv.dnsfor.me/channel.19.m3u8
翡翠华丽台,http://198.16.106.62:8278/streams/d/Wlt/playlist.m3u8
明珠台,http://cdn.hkdtmb.com/hls/84/index.m3u8
TVB8,https://cn-jsnt-cmcc-live-01.bilivideo.com/live-bvc/689546/live_194707653_5399055.m3u8
有线新闻台,https://api.leonardpark.dev/live/icable/109
有线财经资讯台,https://api.leonardpark.dev/live/icable/108
有線直播新聞台,https://api.leonardpark.dev/live/icable/110
有線綜合娛樂台,http://gslbmeiah.cdn.hk.chinamobile.com/livehls/MOB-CN/03.m3u8
无线新闻,http://cdn.hkdtmb.com/hls/83/index.m3u8
无线新闻,http://livetv.dnsfor.me/channel.10.m3u8
无线新闻,http://livetv.dnsfor.me:80/channel.10.m3u8
无线财经,http://cdn.hkdtmb.com/hls/85/index.m3u8
无线财经,http://www.chahaoquan.com/wz/epg/tvb.php?id=2
ViuTV,https://cdn.hkdtmb.com/hls/99/index.m3u8
ViuTV,http://61.238.6.49:8000/bysid/99
ViuTV6,http://cdn.hkdtmb.com/hls/96/index.m3u8
ViuTV6,http://61.238.6.49:8000/bysid/96
RHK31,https://cdn.hkdtmb.com/hls/31/index.m3u8
RHK32,http://livetv.dnsfor.me:80/channel.2.m3u8  
RHK32,https://cdn.hkdtmb.com/hls/32/index.m3u8
Now直播331台,https://api.leonardpark.dev/live/now/331
Now新聞332台,http://livetv.dnsfor.me:80/channel.4.m3u8
Now直播331台,http://livetv.dnsfor.me:80/channel.3.m3u8
Now直播660台,http://livetv.dnsfor.me/channel.12.m3u8
Now Sports Prime 630,https://api.leonardpark.dev/live/now/630
Now Sports Prime 630,http://livetv.dnsfor.me/channel.12.m3u8
香港开电视,http://livetv.dnsfor.me:80/channel.9.m3u8  
香港开电视,http://media.fantv.hk/m3u8/archive/channel2_stream1.m3u8
凤凰中文 10M1080,http://223.110.235.3/ott.js.chinamobile.com/PLTV/3/224/3221228057/index.m3u8
凤凰资讯 10M1080,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8
凤凰香港 10M1080,http://223.110.236.2/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8
凤凰中文,http://stream.guihet.com/t/ifeng2.php?id=2
凤凰中文,http://223.110.245.139/PLTV/3/224/3221226922/index.m3u8
凤凰资讯,http://stream.guihet.com/t/ifeng2.php?id=1
凤凰资讯,http://117.169.124.43:6610/ysten-businessmobile/live/fhzixun/index.m3u8
凤凰资讯,http://117.169.124.37:6610/ysten-businessmobile/live/fhzixun/1.m3u8
凤凰香港,http://198.16.106.62:8278/streams/d/hkphoenix_twn/playlist.m3u8
凤凰香港,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8
TVB星河频道,http://50.7.161.82:8278/streams/d/Xinhe/./playlist.m3u8
功夫台,http://103.140.229.13/BOBO/bibi.php?id=21715386
功夫台2,http://ftp9524803.host166.gotoip4.cn/bilibili.php?id=21715386
天映电影台2,http://topwin-tv.my.id/2/master.m3u8?id=celestialmovie
天映电影,http://50.7.161.82:8278/streams/d/Celestial/playlist.m3u8
天映经典,http://50.7.161.82:8278/streams/d/Celestial2/playlist.m3u8
星空卫视,rtmp://58.200.131.2:1935/livetv/startv
Channel[V],rtmp://58.200.131.2:1935/livetv/channelv
Discovery,rtmp://58.200.131.2:1935/livetv/discovery
国家地理频道(台湾),rtmp://58.200.131.2:1935/livetv/natlgeo

香港@Livetv,#genre#
RTHK31,http://livetv.dnsfor.me:80/channel.1.m3u8
RTHK32,http://livetv.dnsfor.me:80/channel.2.m3u8
Now直播331台,http://livetv.dnsfor.me:80/channel.3.m3u8
Now新聞332台,http://livetv.dnsfor.me:80/channel.4.m3u8
有線新聞台 HD,http://livetv.dnsfor.me:80/channel.5.m3u8
有線財經資訊台 HD,http://livetv.dnsfor.me:80/channel.6.m3u8
有線綜合娛樂台 HD,http://livetv.dnsfor.me:80/channel.7.m3u8
開電視,http://livetv.dnsfor.me:80/channel.9.m3u8
無綫新聞台,http://livetv.dnsfor.me:80/channel.10.m3u8
無綫財經資訊台,http://livetv.dnsfor.me:80/channel.11.m3u8
Now Sports Prime 630,http://livetv.dnsfor.me:80/channel.12.m3u8
ATV,http://livetv.dnsfor.me:80/channel.14.m3u8
HKS香港卫视,http://livetv.dnsfor.me:80/channel.15.m3u8
凤凰香港台,http://livetv.dnsfor.me:80/channel.16.m3u8
CCTV5HD,http://livetv.dnsfor.me:80/channel.17.m3u8
翡翠台,http://livetv.dnsfor.me:80/channel.18.m3u8
J2,http://livetv.dnsfor.me:80/channel.19.m3u8
VIU TV,http://livetv.dnsfor.me:80/channel.20.m3u8
鳳凰資訊台,http://livetv.dnsfor.me:80/channel.21.m3u8
星空卫视,http://livetv.dnsfor.me:80/channel.22.m3u8
UNIVERSE TV,http://livetv.dnsfor.me:80/channel.23.m3u8
亚旅卫视,http://livetv.dnsfor.me:80/channel.24.m3u8

港台©198,#genre#

huanxi,http://198.16.106.62:8278/streams/d/Huahee/playlist.m3u8
TVBS News 新闻台,http://198.16.106.62:8278/streams/d/tvbs_n/playlist.m3u8
TVBS欢乐,http://198.16.106.62:8278/streams/d/tvbsgbk_twn/playlist.m3u8
TVBS,http://198.16.106.62:8278/streams/d/tvbs/playlist.m3u8
中天新闻,http://198.16.106.62:8278/streams/d/ctinews/playlist.m3u8
中天娱乐,http://198.16.106.62:8278/streams/d/ctient/playlist.m3u8
中天综合,http://198.16.106.62:8278/streams/d/ctizhonghe/playlist.m3u8
民视,http://198.16.106.62:8278/streams/d/ftvhd_taiwan/playlist.m3u8
民视台湾台,http://198.16.106.62:8278/streams/d/ftvtaiwan_twn/playlist.m3u8
三立台湾,http://198.16.106.62:8278/streams/d/sanlitaiwan/playlist.m3u8
三立戏剧台,http://198.16.106.62:8278/sanlixiju_zero/playlist.m3u8
三立新聞,http://198.16.106.62:8278/streams/d/sanlinews_zero/playlist.m3u8
纬来日本台,http://198.16.106.62:8278/streams/d/videolandjapan_zero/playlist.m3u8
纬来电影台,http://198.16.106.62:8278/streams/d/videolandmovie_zero/playlist.m3u8
纬来精彩台,http://198.16.106.62:8278/streams/d/videolandspecial_zero/playlist.m3u8
纬来体育台,http://198.16.106.62:8278/streams/d/videolandsport_zero/playlist.m3u8
纬来戏剧台,http://198.16.106.62:8278/streams/d/videolandxiju_zero/playlist.m3u8
纬来综合台,http://198.16.106.62:8278/streams/d/videolandzonghe_zero/playlist.m3u8
亚洲美食,http://198.16.106.62:8278/streams/d/asiafood_zero/playlist.m3u8
美食星球,http://198.16.106.62:8278/streams/d/foodplanet_zero/playlist.m3u8
亚洲旅游,http://198.16.106.62:8278/streams/d/tlcasia_zero/playlist.m3u8
MTV Live,http://198.16.106.62:8278/streams/d/mtvlive_zero/playlist.m3u8
ELTA体育3台,http://198.16.106.62:8278/streams/d/eltasport3_zero/playlist.m3u8
ELTA綜合台,http://198.16.106.62:8278/streams/d/eltazonghe_zero/playlist.m3u8
ELTA影劇台,http://198.16.106.62:8278/streams/d/eltadrama_zero/playlist.m3u8
NatGeo_People,http://198.16.106.62:8278/streams/d/natgeopeople_zero/playlist.m3u8
Discovery Eve,http://198.16.106.62:8278/streams/d/eve_zero/playlist.m3u8
BBC Earth ᴴᴰ,http://198.16.106.62:8278/streams/d/bbcearthᴴᴰ_zero/playlist.m3u8
BBC Earth Lifestyle,http://198.16.106.62:8278/streams/d/bbclifestyle_zero/playlist.m3u8
Luxe TV,http://198.16.106.62:8278/streams/d/luxetv_zero/playlist.m3u8
Nickelodeon,http://198.16.106.62:8278/streams/d/Nickelodeon/playlist.m3u8
Nick Jr,http://198.16.106.62:8278/streams/d/Nickjr/playlist.m3u8
Baby TV Eng,http://198.16.106.62:8278/streams/d/Babytv/playlist.m3u8
Kids TV,http://198.16.106.62:8278/streams/d/KidsTV/playlist.m3u8
CBeebies,http://198.16.106.62:8278/streams/d/Cbeebies/playlist.m3u8
Disney Channel,http://198.16.106.62:8278/streams/d/Disneyxd/playlist.m3u8
Disney Junior,http://198.16.106.62:8278/streams/d/Disneyjr/playlist.m3u8
鳳凰中文台,http://198.16.106.62:8278/streams/d/phoenixtv_hd/playlist.m3u8
鳳凰資訊台,http://198.16.106.62:8278/streams/d/phoenixinfo_hd/playlist.m3u8
鳳凰香港台,http://198.16.106.62:8278/streams/d/hkphoenix_twn/playlist.m3u8
翡翠台,http://198.16.106.62:8278/streams/d/Wlt/playlist.m3u8
astor AOD,http://198.16.106.62:8278/streams/d/AodHD/playlist.m3u8
無線新聞台,http://198.16.106.62:8278/streams/d/inews_twn/playlist.m3u8
有線新聞台,http://198.16.106.62:8278/streams/d/hkcnews_twn/playlist.m3u8
FOX,http://198.16.106.62:8278/streams/d/foxhd_zero/playlist.m3u8
HBO,http://198.16.106.62:8278/sundance_twn/playlist.m3u8?tid=M200000000000519104841&ct=18639&tsum=c5edc8fc8db4672fc2f3f7111c99ec7b
TLC旅游生活,http://198.16.106.62:8278/streams/d/tlcasia_zero/playlist.m3u8
FOX犯罪電影,http://198.16.106.62:8278/streams/d/foxcrime_zero/playlist.m3u8
FOX動作電影,http://198.16.106.62:8278/streams/d/foxaction_zero/playlist.m3u8
FOX家庭電影,http://198.16.106.62:8278/streams/d/foxfamily_zero/playlist.m3u8
HBO原創電影,http://198.16.106.62:8278/streams/d/hbosignature_zero/playlist.m3u8
Food亞洲美食,http://198.16.106.62:8278/streams/d/asiafood_zero/playlist.m3u8
美食星球,http://198.16.106.62:8278/streams/d/foodplanet_zero/playlist.m3u8
三立台灣台,http://198.16.106.62:8278/sanlitaiwan/playlist.m3u8?tid=m92ccadc4dc3718157816&ct=17874&tsum=3570a8198ca0fb7ebb803807e38b33fb
中天綜合台,http://198.16.106.62:8278/ctizhonghe/playlist.m3u8?tid=m85005aeec85b14021104&ct=17874&tsum=69f19f4b12ab79d2ee683b28cdb1c8ca
TVBS新聞台,http://198.16.106.62:8278/tvbs_n/playlist.m3u8?tid=m4a218f9aa395&ct=18335&tsum=363605ee081cb965cc0385c3f855a7e3
TVBS-HD,http://198.16.106.62:8278/tvbs/playlist.m3u8?tid=m0f93590c7a75&ct=18335&tsum=d55d4e5f3a3d424454dbc8d70e3bb1b6
HBO,http://198.16.106.62:8278/sundance_twn/playlist.m3u8?tid=mfe0bf4686c6d&ct=18335&tsum=14c57b1bfb62b277d396eb3cf14f26c6
民視,http://198.16.106.62:8278/ftvhd_taiwan/playlist.m3u8?tid=15141291&ct=17990&tsum=ab93fcdf581cc3f483e1ceede13312ce
三立台灣台,http://198.16.106.62:8278/sanlitaiwan/playlist.m3u8?tid=m92ccadc4dc3718157816&ct=17874&tsum=3570a8198ca0fb7ebb803807e38b33fb
三立綜合台,http://198.16.106.62:8278/sanlizhonghe/playlist.m3u8?tid=m3362167a08a014596868&ct=17874&tsum=4472a7c943b67bf52fe5e836ca9f3b6b
中天綜合台,http://198.16.106.62:8278/ctizhonghe/playlist.m3u8?tid=m85005aeec85b14021104&ct=17874&tsum=69f19f4b12ab79d2ee683b28cdb1c8ca
天映電影台,http://50.7.161.82:8278/Celestial2/playlist.m3u8?tid=m02000000000010416484&ct=17955&tsum=cd7dbff483b639f549b95320c78a1f3b
天映頻道HD,http://50.7.161.82:8278/Celestial/playlist.m3u8?tid=m02000000000014496578&ct=17956&tsum=808f037499700f0538f13ea983dce703
HBO,http://198.16.106.62:8278/sundance_twn/playlist.m3u8?tid=m02000000000017768575&ct=17955&tsum=c3ecd772420130079ba147320f61cc12
香港資訊,http://198.16.106.62:8278/phoenixinfo_hd/playlist.m3u8?tid=m02000000000014163373&ct=18001&tsum=b4187b126abf2e7567e321c09dcc075e
香港鳳凰,http://198.16.106.62:8278/phoenixtv_hd/playlist.m3u8?tid=m02000000000012301168&ct=18001&tsum=d0f3fc4a36a32e3f2c3d895bb932d170
鳳凰香港,http://198.16.106.62:8278/hkphoenix_twn/playlist.m3u8?tid=m02000000000018250733&ct=18001&tsum=e70ca7acd14b287077a17bb5a2fd3cb2
TVB互動新聞,http://198.16.106.62:8278/inews_twn/playlist.m3u8?tid=m02000000000015903088&ct=18001&tsum=6eeaca6d11a1352c9a8022edabd0f65e

台湾@161,#genre#
TVBS欢乐台,rtmp://161.202.204.248/sat/tv422
TVBS欢乐台,rtmp://161.202.204.248/sat/tv421
TVBS新闻台,rtmp://161.202.204.248/sat/tv552
纬来体育,rtmp://161.202.204.248/sat/tv721
纬来体育,rtmp://161.202.204.248:1935/sat/tv721
纬来育乐,rtmp://161.202.204.248/sat/tv701
纬来育乐,rtmp://161.202.204.248/sat/tv702
纬来育乐,rtmp://161.202.204.248:1935/sat/tv701
纬来日本,rtmp://161.202.204.248:1935/sat/tv521
纬来日本,rtmp://161.202.204.248/sat/tv522
爱尔达体育一,rtmp://161.202.204.248/sat/md011
东森超视,rtmp://161.202.204.248/sat/tv772
东森超视,rtmp://161.202.204.248:1935/sat/tv771
东森超视,rtmp://161.202.204.248/sat/tv771
博斯魅力,rtmp://161.202.204.248/sat/md042
东森财经新闻,rtmp://161.202.204.248:1935/sat/tv571
MoMo综合台,rtmp://161.202.204.248/sat/tv761
TVBS欢乐,rtmp://161.202.204.248:1935/sat/tv421
【p
台湾©Seb,#genre#

中天新闻,http://seb.sason.top/sc/ztxw_fhd.m3u8
三立新闻台,http://seb.sason.top/sc/sllive_fhd.m3u8
中视新闻,http://seb.sason.top/sc/zsxw_fhd.m3u8
台视新闻台,http://seb.sason.top/sc/tsxw_fhd.m3u8
民视台湾台,http://seb.sason.top/ptv/ftv.php?id=tw
民视新闻台,https://6.mms.vlog.xuite.net/hls/ftvtv/index.m3u8
華視新聞資訊,http://seb.sason.top/sc/hsxw_fhd.m3u8
壹电视新闻台,http://stream.nexttv.com.tw/n001/hd/live.m3u8
东森新闻台,http://seb.sason.top/sc/dsxw_fhd.m3u8
东森财经新闻台,http://seb.sason.top/sc/dscjxw_fhd.m3u8
东森财经新闻台,rtmp://59.124.75.130/sat/tv571
TVBS新闻台,http://seb.sason.top/sc/tvbsxw_fhd.m3u8

马来@50,#genre#
Astro AEC,http://50.7.161.82:8277/streams/d/aec_pye/playlist.m3u8
Astro AOD,http://50.7.161.82:8277/streams/d/aod_pye/playlist.m3u8
